"Session Identifier","Email","Searches","Clicks","Cases Logged","Support Visit","Session Start Time","Session last Activity Time","Activity Type","Activity Detail","Internal/External","Activity Additional Detail","Search Result Count","Page No.","Facet Id","Facet Type","Facet Value","Exact Phrase","With one or more","Without the Words","Activity Time"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Ticket Detail","External","https://help.databricks.com/s/case/5008Y00001vlAQZQA2/cusomer-is-requesting-analytics",,,,"","",,,,"06/27/2022 05:51:11"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Ticket Listing","External","https://help.databricks.com/s/Ticket-Listing",,,,"","",,,,"06/27/2022 05:49:47"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Ticket Detail","External","https://help.databricks.com/s/case/5008Y00001vToTOQA0/issues-while-exporting-databricks-workspace",,,,"","",,,,"06/27/2022 05:39:11"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Ticket Listing","External","https://help.databricks.com/s/Ticket-Listing",,,,"","",,,,"06/27/2022 05:39:05"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Visited Support","Get Support","External","https://help.databricks.com/s/submitrequest",,,,"","",,,,"06/27/2022 05:39:02"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Help Center - Databricks","External","https://help.databricks.com/s/",,,,"","",,,,"06/27/2022 05:38:55"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Ticket Detail","External","https://help.databricks.com/s/case/5003f00000JkcJBAAZ/databrickserrormessagespark-failed-to-start",,,,"","",,,,"06/27/2022 05:24:10"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Ticket Listing","External","https://help.databricks.com/s/Ticket-Listing",,,,"","",,,,"06/27/2022 05:23:00"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Visited Support","Get Support","External","https://help.databricks.com/s/submitrequest",,,,"","",,,,"06/27/2022 05:22:53"
"1656287112905670	","",0,0,0,"Visited Support","06/27/2022 05:15:19","06/27/2022 05:51:11","Viewed Page","Case Detail","External","https://help.databricks.com/s/case/5008Y00001vPxzkQAC/number-of-clusters-in-monitoring-tool",,,,"","",,,,"06/27/2022 05:15:43"
