"Search Keyword","Users","Sessions","Searches"
"genie",43,443,"520"
"genie access request",12,155,"180"
"genie access",22,87,"98"
"data",8,15,"52"
"marketing things",1,1,"47"
"data science & engineering?",1,1,"33"
"annotation",1,1,"30"
"help",3,17,"28"
"dbr migration",1,1,"22"
"databricks case creation",1,1,"18"
"unity catalog",7,7,"18"
"cluster",10,14,"16"
"sas",3,3,"16"
"databricks sql",9,9,"14"
"delete account",13,13,"13"
"cluster not starting",12,12,"12"
"org.apache.spark.sql.analysisexception: nondeterministic expressions are only allowed in",1,9,"12"
"accessibility",1,1,"11"
"greenplum to databricks migration",1,1,"11"
"test",9,10,"11"
"token",7,8,"11"
"amazon s3 bucket access denied",2,8,"10"
"certification",7,7,"10"
"helping center",1,2,"10"
"pymongo",1,1,"10"
"sql",8,8,"10"
"boto3",3,9,"9"
"es-308244",1,1,"9"
"upload file",4,4,"9"
"api",6,6,"8"
"ganglia",1,1,"8"
"invoice",5,6,"8"
"language",2,2,"8"
"login",6,6,"8"
"sign up for databricks community edition",3,3,"8"
"sleep(10)",1,1,"8"
"2206080050000941-genie acess",7,7,"7"
"activity",1,1,"7"
"agent",1,1,"7"
"amazon s3 access denied",1,5,"7"
"azure",4,4,"7"
"calendar",1,1,"7"
"databricks",4,5,"7"
"deprecating support for updating regions on workspaces",4,5,"7"
"h2o",3,3,"7"
"import notebook",5,5,"7"
"intermittent redshift connection issue from job clusters",4,7,"7"
"job error invalid template",2,2,"7"
"move dag is failing",4,7,"7"
"partner connect",2,2,"7"
"power bi",4,4,"7"
"structured streaming ml scoring",1,1,"7"
"upgrade runtime",3,3,"7"
"voucher",6,6,"7"
"voucher  validity",2,2,"7"
"access the admin console",2,2,"6"
"can't specify configuration to sse-kms on a per-bucket basis",4,5,"6"
"cluster can't start",2,2,"6"
"cluster status pending",3,3,"6"
"could not find adls gen2 token",2,4,"6"
"databricks environment highly unstable",2,4,"6"
"delta live tables",4,5,"6"
"gcp",3,3,"6"
"genie 2204080030001854",1,6,"6"
"github",3,3,"6"
"import",6,6,"6"
"knowledge",1,1,"6"
"koalas",1,1,"6"
"log in",4,4,"6"
"marketing",2,2,"6"
"mlflow",6,6,"6"
"model serving",1,1,"6"
"notebook",4,5,"6"
"spark structured streaming job not running",4,4,"6"
"sql endpoint",6,6,"6"
"terminated cluster",1,1,"6"
"1.databricks-log contains no information about causing column in case of type mismatch during synapse-write",5,5,"5"
"3337075389283370 - 6b64b59f-432d-401e-b552-d855f1e1d2e0 - 2204060040002674",2,5,"5"
"access metadata",1,1,"5"
"amazon s3",1,3,"5"
"anonymization",1,1,"5"
"azure databricks notebook execution duration is extremely long (40+ minutes), and it exceeds the 10 minute trigger window",1,3,"5"
"change data feed",2,2,"5"
"cli",5,5,"5"
"cluster not start",4,4,"5"
"cluster terminated",4,5,"5"
"cluster terminated.reason:self bootstrap failure",3,3,"5"
"clusters",4,4,"5"
"db-i-3310",1,1,"5"
"dbfs",4,4,"5"
"describe view",1,1,"5"
"do i need to do associate first before professional",1,1,"5"
"genie access - sr 2204250050001910",1,5,"5"
"genie for #2203180030001191",5,5,"5"
"genie for #2203210030001488",5,5,"5"
"gennie access",3,5,"5"
"hive insert overwrite query error",1,4,"5"
"how can i call notebook in at the time of cluster start",1,3,"5"
"how to complete the certification in databricks",1,1,"5"
"jdbc to sql endpoint",1,1,"5"
"job failure",5,5,"5"
"jobs",5,5,"5"
"marketing stretegies classifications",1,1,"5"
"modified",1,1,"5"
"notebook showing function does not exist",1,5,"5"
"python read database tables",1,1,"5"
"repo",4,5,"5"
"saml2 sso",1,1,"5"
"search",4,5,"5"
"service level",1,1,"5"
"shap",1,1,"5"
"share",2,2,"5"
"shared cluster",1,1,"5"
"spark.databricks.delta.catalog.update.enabled",2,2,"5"
"trash",4,4,"5"
"ui based provisioning tools",1,1,"5"
"unable to access azuredatabricks workspace",2,2,"5"
"unable to load aws credentials",2,3,"5"
"unable to login",5,5,"5"
"unity catalog (preview)",1,2,"5"
"userid",1,1,"5"
"using databricks pool with multiple interactive clusters",3,3,"5"
"view data",1,1,"5"
"workspace",4,4,"5"
"""dbfs_fuse_version=1""",1,1,"4"
"2203180050000737-genie acess",4,4,"4"
"2205100050002029 - genie",1,3,"4"
"5003f00000jklrnaaj",1,2,"4"
"aa",1,1,"4"
"admin",4,4,"4"
"apache spark associate developer certification",1,3,"4"
"base",2,2,"4"
"billing",2,2,"4"
"certain commands are not working on databricks workspaces e.g: display() and %sql select does not work",3,3,"4"
"certification exam",3,3,"4"
"cloud provider launch failure",2,4,"4"
"cluster (10.4) shuts off randomly",1,3,"4"
"cluster not working",3,3,"4"
"cluster pending",2,2,"4"
"cluster terminating",3,4,"4"
"cluster wont start",3,3,"4"
"clusters 'running command' but not doing anything",1,2,"4"
"community edition",3,4,"4"
"copy results to excel",2,2,"4"
"cost",4,4,"4"
"css-arr-s500-sr#2205250030000489-genie access request",1,4,"4"
"css-arr-s500-sr#2205270040003393-genie access request",1,4,"4"
"databricks issue",4,4,"4"
"databricks jobs are failing to trigger the automation account runbooks",1,3,"4"
"databricks partners",2,2,"4"
"databricks runtime",2,2,"4"
"databricks:  when clicking on completed jobs get http error 403",1,4,"4"
"dbutils",3,3,"4"
"delta",3,4,"4"
"disable delta",1,2,"4"
"ecs",1,1,"4"
"error in databricks while creating table or updating partitions",1,2,"4"
"eventhub streaming to databricks delta table stopped due to offset mismatched",1,3,"4"
"excel files",3,3,"4"
"exclud",1,1,"4"
"export csv",4,4,"4"
"facing issue whule querying in r language",1,4,"4"
"frequency",1,1,"4"
"genie for #2202210050001736",4,4,"4"
"genie for #2204060050000418",4,4,"4"
"genie for #2205110050001559",4,4,"4"
"global init script failure | oms agent installation",2,3,"4"
"i got stuck to an error in data bricks , the error is ' command result size exceeds limit: exceeded 20971520 bytes (current = 20972463)'",1,3,"4"
"init script",3,4,"4"
"invalid column 'true'.",1,1,"4"
"job parameter",1,1,"4"
"manage workspace",1,1,"4"
"oss spark history server",1,1,"4"
"pipeline",3,3,"4"
"pricing",3,3,"4"
"r studio",3,3,"4"
"receipt",4,4,"4"
"runtime",1,1,"4"
"schema_of_json",2,2,"4"
"secret scope",4,4,"4"
"service principal scim provisionning is not working",3,4,"4"
"shortcut",4,4,"4"
"sso",3,3,"4"
"stack cli",1,1,"4"
"svg notbook",2,2,"4"
"tensorflow module not found",1,1,"4"
"unable to create db and tables",3,3,"4"
"unable to create empty delta tables in the adls stoarage",1,2,"4"
"update my training date",1,1,"4"
"vnet range",1,1,"4"
"voucher code",3,3,"4"
"vulnerability issue in nodes of databricks cluster",2,2,"4"
"waiting for cluster to start: encountered quota exhaustion issue in your account: azure_error_code",1,1,"4"
"""""""""""""""""""""""""onclick=alert(1)",1,1,"3"
"""><img src=x onerror=javascript:alert(document.cookie)>",2,2,"3"
"""code_path""",1,1,"3"
"""dbfs_fuse_version""",1,1,"3"
"""gc overhead limit exceeded""",1,1,"3"
"""table or view not found""",1,1,"3"
"%run",3,3,"3"
",download data as csv",1,1,"3"
"00d61jgc4._5008y1vr785:ref",1,1,"3"
"10.5 ml",1,1,"3"
"2203170040001201_need genie access",1,3,"3"
"2204110040000576 | private endpoint",1,2,"3"
"2205020050000680-genie acess",3,3,"3"
"<script>/**\x00/javascript:alert(1)///*/</script>",1,1,"3"
"<script>alert(1)</script>",2,2,"3"
"[arr] [sev c] sr-2206170060000071-is it possible to trigger the synapse store procedure from databricks notebook?",1,3,"3"
"[arr][2204070030000183][databricks job not able to complete as the cluster config has reached the max capacity]",1,2,"3"
"[arr][2204260040005094 ][geico]unable to set log destiation to dbfs mnt",1,2,"3"
"academy accreditation",1,1,"3"
"academy login",3,3,"3"
"access control",1,1,"3"
"access filestore",1,3,"3"
"acl permissions",2,2,"3"
"amazon",1,1,"3"
"amazon s3 bucket",1,1,"3"
"arr | some libraries are failing when cluster restarts | 2205170040006180",1,1,"3"
"arr || optimize delta load || 2206150010002628",1,3,"3"
"attach notebook",1,1,"3"
"attach notebook dynamically",1,1,"3"
"auto plot adjustment",1,1,"3"
"automation",1,1,"3"
"aws",3,3,"3"
"azure databricks certified associate platform administrator",1,1,"3"
"azure databricks create pipelines",1,1,"3"
"azure quota exceeded exception",1,1,"3"
"boolean",1,1,"3"
"broadcast",1,1,"3"
"calling rest api with databricks",1,1,"3"
"cannot create cluster",3,3,"3"
"cdf",2,2,"3"
"certificates",1,1,"3"
"certification renewal",1,1,"3"
"changing default timestamp for hive tables and databricks workspace to cet",1,2,"3"
"checkpoint",1,1,"3"
"cluster is not starting",2,2,"3"
"cluster issues while running ml notebbok",1,3,"3"
"cluster lost at least one node. reason: communication lost",2,3,"3"
"combine 2 feilds in sql",1,1,"3"
"communication with at least one worker node was unexpectedly lost.",1,2,"3"
"configure databricks s3 commit service-related settings",1,1,"3"
"connectiviy issues between databricks to cassandra db",2,3,"3"
"css-arr-s500-sr#2205180030001898-genie access request",1,2,"3"
"css-arr-s500-sr#2206010010000682-genie access request",1,3,"3"
"cst now 7:12",1,1,"3"
"cve-2022-22965",2,2,"3"
"dashboard",2,2,"3"
"data management: tips and troubleshooting",1,1,"3"
"data redaction",1,1,"3"
"databases and tables",1,1,"3"
"databricks academy",3,3,"3"
"databricks certification voucher code expiry",1,1,"3"
"databricks display table",1,1,"3"
"databricks exam",3,3,"3"
"databricks job failed with error message",1,2,"3"
"databricks jobs random library installation issues",2,3,"3"
"databricks notebook taking longer time moveing the data from adls to adls",2,2,"3"
"databricks upgrade to 10.5 - spark sql error",1,2,"3"
"dataframes and datasets",1,2,"3"
"dbfs size",1,1,"3"
"dbt",1,1,"3"
"delete my account",3,3,"3"
"delta lake change feed data error on job restart",1,2,"3"
"display",2,2,"3"
"docker wheel",1,1,"3"
"download",3,3,"3"
"email",3,3,"3"
"enable unity catalog",3,3,"3"
"error connecting to trino jdbc",1,3,"3"
"error importing azure devops repositories to databricks workspace",1,3,"3"
"errors running deployment script in databricks",1,2,"3"
"es-314270",1,1,"3"
"exam voucher",3,3,"3"
"exam voucher validity",3,3,"3"
