,label_0,freq_0,label_1,freq_1,label_2,freq_2,label_3,freq_3,label_4,freq_4,label_5,freq_5
0,"('The Two-fold Role of Observables in Classical and Quantum Kinematics', 'On the Status of the Measurement Problem: Recalling the Relativistic Transactional Interpretation')",17.0,"('An Effective Framework for Constructing Exponent Lattice Basis of Nonzero Algebraic Numbers', 'Faster integer and polynomial multiplication using cyclotomic coefficient rings')",15,"('Uniform Spectral Convergence of the Stochastic Galerkin Method for the Linear Semiconductor Boltzmann Equation with Random Inputs and Diffusive Scalings', 'The Discrete Stochastic Galerkin Method for Hyperbolic Equations with Non-smooth and Random Coefficients')",17.0,"('Development of probabilistic dam breach model using Bayesian inference', 'On constraining projections of future climate using observations and simulations from multiple climate models', 'Analysis of Annual Cyclone Frequencies over Bay of Bengal: Effect of 2004 Indian Ocean Tsunami', 'Probabilities of causation of climate changes', 'Trends in European flood risk over the past 150 years')",18.0,"('Recurrent Deep Embedding Networks for Genotype Clustering and Ethnicity Prediction', 'Deep SNP: An End-to-end Deep Neural Network with Attention-based Localization for Break-point Detection in SNP Array Genomic data', 'Analysis of Extremely Obese Individuals Using Deep Learning Stacked Autoencoders and Genome-Wide Genetic Data')",14.0,"('Integrating electricity markets: Impacts of increasing trade on prices and emissions in the western United States', 'Extended opportunity cost model to find near equilibrium electricity prices under non-convexities', 'Token Economics in Energy Systems: Concept, Functionality and Applications')",28.0
1,"('HTEM data improve 3D modelling of aquifers in Paris Basin, France', 'Galerkin Least-Squares Stabilization in Ice Sheet Modeling - Accuracy, Robustness, and Comparison to other Techniques')",13.0,"('High Dynamic Range Imaging Technology', 'Two-pixel polarimetric camera by compressive sensing')",15,"('Algorithm for Optimization and Interpolation based on Hyponormality', 'Fast algorithm of adaptive Fourier series')",14.0,"('The challenge of realistic music generation: modelling raw audio at scale', 'A Generative Model for Natural Sounds Based on Latent Force Modelling')",16.0,"('Analysis of evolutionary origins of genomic loci harboring 59,732 candidate human-specific regulatory sequences identifies genetic divergence patterns during evolution of Great Apes', 'Use of Genome Information-Based Potentials to Characterize Human Adaptation')",14.0,"('Risk-neutral valuation under differential funding costs, defaults and collateralization', 'A closed formula for illiquid corporate bonds and an application to the European market', 'Evaluation of equity-based debt obligations', 'An Enhanced Initial Margin Methodology to Manage Warehoused Credit Risk')",15.0
2,"('Zero-point spin-fluctuations of single adatoms', 'Continuum of quantum fluctuations in a three-dimensional $S\\!=\\!1$ Heisenberg magnet')",13.0,"('Trusted Multi-Party Computation and Verifiable Simulations: A Scalable Blockchain Approach', 'ZebraLancer: Crowdsource Knowledge atop Open Blockchain, Privately and Anonymously', 'Detecting Bot Activity in the Ethereum Blockchain Network', 'Towards a scientific blockchain framework for reproducible data analysis', 'A Logic of Blockchain Updates', 'Implementation of Smart Contracts Using Hybrid Architectures with On- and Off-Blockchain Components')",14,"(""La notion d'involution dans le Brouillon Project de Girard Desargues"", 'Variations on a Visserian Theme')",14.0,"('Reinforcement Learning using Augmented Neural Networks', 'Self-Imitation Learning')",15.0,"('Human peripheral blur is optimal for object recognition', 'Early Salient Region Selection Does Not Drive Rapid Visual Categorization')",11.0,"(""Are Bitcoin Bubbles Predictable? Combining a Generalized Metcalfe's Law and the LPPLS Model"", 'Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks', 'Multi-channel discourse as an indicator for Bitcoin price and volume movements', 'Herding behavior in cryptocurrency markets', 'Multivariate stable distributions and their applications for modelling cryptocurrency-returns', 'The Price of BitCoin: GARCH Evidence from High Frequency Data')",14.0
3,"('Fourier-based numerical approximation of the Weertman equation for moving dislocations', 'Dynamics of cracks in disordered materials')",11.0,"('Fault Tolerant Consensus Agreement Algorithm', 'State-dependent Priority Scheduling for Networked Control Systems', 'Optimal Non-blocking Decentralized Supervisory Control Using G-Control Consistency', 'Performance Improvement in Noisy Linear Consensus Networks with Time-Delay')",13,"('Uniform Spectral Convergence of the Stochastic Galerkin Method for the Linear Semiconductor Boltzmann Equation with Random Inputs and Diffusive Scalings', 'Strong Convergence Rate of Splitting Schemes for Stochastic Nonlinear Schrödinger Equations', 'The Discrete Stochastic Galerkin Method for Hyperbolic Equations with Non-smooth and Random Coefficients')",12.0,"('Reconstruction from Periodic Nonlinearities, With Applications to HDR Imaging', 'Undersampled dynamic X-ray tomography with dimension reduction Kalman filter')",14.0,"('Effects of atrial fibrillation on the arterial fluid dynamics: a modelling perspective', 'Fluid-Structure Interaction for the Classroom: Interpolation, Hearts, and Swimming!')",11.0,"('Assessing the state of e-Readiness for Small and Medium Companies in Mexico: a Proposed Taxonomy and Adoption Model', 'Exploring the nuances in the relationship ""culture-strategy"" for the business world', 'Academic Engagement and Commercialization in an Institutional Transition Environment: Evidence from Shanghai Maritime University', 'Contemporary facets of business successes among leading companies, operating in Bulgaria', 'Shattering the glass ceiling? How the institutional context mitigates the gender gap in entrepreneurship')",11.0
4,"('General mixed multi-soliton solution to the multi-component Maccari system', 'The solution to the initial value problem for the ultradiscrete Somos-4 and 5 equations')",11.0,"('Dynamic Base Station Repositioning to Improve Spectral Efficiency of Drone Small Cells', 'Handover analysis of the Improved Phantom Cells')",13,"('Do triangle-free planar graphs have exponentially many 3-colorings?', 'On measures of edge-uncolorability of cubic graphs: A brief survey and some new results')",11.0,"('Computationally Efficient Estimation of the Spectral Gap of a Markov Chain', 'Asymptotic Properties of Recursive Maximum Likelihood Estimation in Non-Linear State-Space Models', 'Estimate exponential memory decay in Hidden Markov Model and its applications')",13.0,"('Characterizing complex networks using Entropy-degree diagrams: unveiling changes in functional brain connectivity induced by Ayahuasca', 'The Frequent Network Neighborhood Mapping of the Human Hippocampus Shows Much More Frequent Neighbor Sets in Males Than in Females', 'Finding influential nodes for integration in brain networks using optimal percolation theory', 'Topological Brain Network Distances', 'Combined MEG and fMRI Exponential Random Graph Modeling for inferring functional Brain Connectivity', 'Brain networks reveal the effects of antipsychotic drugs on schizophrenia patients and controls')",11.0,"('Simulation Methods for Stochastic Storage Problems: A Statistical Learning Perspective', 'A Backward Simulation Method for Stochastic Optimal Control Problems')",10.0
5,"('Introduction to Plasma Physics', 'The occurrence of transverse and longitudinal electric currents in the classical plasma under the action of N transverse electromagnetic waves')",11.0,"('Adaptive Model Predictive Control for High-Accuracy Trajectory Tracking in Changing Conditions', 'Model-Based Control Using Koopman Operators')",12,"('Impact of Optimal Storage Allocation on Price Volatility in Electricity Markets', 'Factoring the Cycle Aging Cost of Batteries Participating in Electricity Markets')",11.0,"('Fair Kernel Learning', 'Gradient Reversal Against Discrimination')",13.0,"('Modeling of drug diffusion in a solid tumor leading to tumor cell death', 'Non-hermitian operator modelling of basic cancer cell dynamics')",11.0,"('Dynamical regularities of US equities opening and closing auctions', 'Cross-Sectional Variation of Intraday Liquidity, Cross-Impact, and their Effect on Portfolio Execution', 'Effects of a Price limit Change on Market Stability at the Intraday Horizon in the Korean Stock Market', 'The cooling-off effect of price limits in the Chinese stock markets')",9.0
6,"('Jamming transitions induced by an attraction in pedestrian flow', 'Analytical and simulation studies of pedestrian flow at a crossing with random update rule')",11.0,"('Cyber Risk Analysis of Combined Data Attacks Against Power System State Estimation', 'Smart Grids Data Analysis: A Systematic Mapping Study', 'Dynamic Security Analysis of Power Systems by a Sampling-Based Algorithm', 'Anomaly Detection Using Optimally-Placed Micro-PMU Sensors in Distribution Grids')",12,"('Distributive Aronszajn trees', 'Tangle-tree duality in abstract separation systems')",11.0,"('Reducing Storage of Global Wind Ensembles with Stochastic Generators', 'Multifractal analysis of the time series of daily means of wind speed in complex regions')",12.0,"('Dynamics of the brain extracellular matrix governed by interactions with neural cells', 'AMPA, NMDA and GABAA receptor mediated network burst dynamics in cortical cultures in vitro')",10.0,"('Model Risk Measurement under Wasserstein Distance', 'Time consistency for scalar multivariate risk measures')",9.0
7,"('Free energy of formation of a crystal nucleus in incongruent solidification: Implication for modeling the crystallization of aqueous nitric acid droplets in type 1 polar stratospheric clouds', 'Experimental evidence for Glycolaldehyde and Ethylene Glycol formation by surface hydrogenation of CO molecules under dense molecular cloud conditions')",11.0,"('Trusted Multi-Party Computation and Verifiable Simulations: A Scalable Blockchain Approach', 'ZebraLancer: Crowdsource Knowledge atop Open Blockchain, Privately and Anonymously')",12,"('Variational methods for steady-state Darcy/Fick flow in swollen and poroelastic solids', 'A fast numerical method for ideal fluid flow in domains with multiple stirrers')",10.0,"('An Intersectional Definition of Fairness', 'Causal Interventions for Fairness')",11.0,"('Microfluidics for Chemical Synthesis: Flow Chemistry', 'The Development of Microfluidic Systems within the Harrison Research Team', 'Theoretical aspects of microscale acoustofluidics')",10.0,"('Dynamic Clearing and Contagion in Financial Networks', 'Capital Regulation under Price Impacts and Dynamic Financial Contagion')",9.0
8,"('Does a generalized Chaplygin gas correctly describe the cosmological dark sector?', 'When the Universe Expands Too Fast: Relentless Dark Matter', 'Speculation On a Source of Dark Matter', 'Dark matter in dwarf galaxies', 'The Mismeasure of Mergers: Revised Limits on Self-interacting Dark Matter in Merging Galaxy Clusters', 'Static structure of chameleon dark Matter as an explanation of dwarf spheroidal galactic core')",11.0,"('On Varieties of Ordered Automata', 'Timed Automata with Polynomial Delay and their Expressiveness')",11,"('When a triangle is isosceles?', 'Erratum to: Medial axis and singularities')",10.0,"('Long-Term Load Forecasting Considering Volatility Using Multiplicative Error Model', 'Future Energy Consumption Prediction Based on Grey Forecast Model')",11.0,"('$\\mathcal{R}_{0}$ fails to predict the outbreak potential in the presence of natural-boosting immunity', 'Global stability of a network-based SIRS epidemic model with nonmonotone incidence rate', 'Robust parameter determination in epidemic models with analytical descriptions of uncertainties', 'Who is the infector? Epidemic models with symptomatic and asymptomatic cases', 'Expected Time to Extinction of SIS Epidemic Model Using Quasy Stationary Distribution', 'On the scaling patterns of infectious disease incidence in cities', 'The Impact of Information Dissemination on Vaccinating Epidemics in Multiplex Networks', 'Vulnerability to pandemics in a rapidly urbanizing society', 'Epidemiological impact of waning immunization on a vaccinated population', 'Early warning signals in plant disease outbreaks', 'Spatial Models of Vector-Host Epidemics with Directed Movement of Vectors Over Long Distances', 'Endemicity and prevalence of multipartite viruses under heterogeneous between-host transmission')",10.0,"('Optimal proportional reinsurance and investment for stochastic factor models', 'Defining and estimating stochastic rate change in a dynamic general insurance portfolio')",9.0
9,"('Duality and Universal Transport in a Mixed-Dimension Electrodynamics', 'Heisenberg equation for a nonrelativistic particle on a hypersurface: from the centripetal force to a curvature induced force')",11.0,"('A Systematic Approach for Exploring Tradeoffs in Predictive HVAC Control Systems for Buildings', 'Model Predictive Control for Distributed Microgrid Battery Energy Storage Systems')",11,"(""On Dummett's Pragmatist Justification Procedure"", 'Canonical Truth')",9.0,"('Deep metric learning for multi-labelled radiographs', 'Mammography Assessment using Multi-Scale Deep Classifiers')",10.0,"('Deciphering noise amplification and reduction in open chemical reaction networks', 'Stochastic Chemical Reaction Networks for Robustly Approximating Arbitrary Probability Distributions', 'Mechanism Deduction from Noisy Chemical Reaction Networks', 'Joining and decomposing reaction networks', 'Tier structure of strongly endotactic reaction networks')",9.0,"('Generalizing Geometric Brownian Motion', 'Transition probability of Brownian motion in the octant and its application to default modeling')",9.0
